Disease,Gene,Gene_Name,Mutation_Type,Mutation_Effect,Mutation_Severity,Inheritance_Type,Age_Of_Onset,CRISPR_Method,Target_Cell,Clinical_Status,Evidence_Level,Success_Rate,AI_Reasoning,Reference
Sickle Cell Disease,HBB,Hemoglobin Subunit Beta,Missense,Glu6Val (E6V),High,Autosomal Recessive,Infancy,Base Editing,Hematopoietic Stem Cells,FDA Approved,High,90,Base editing can precisely correct the HBB point mutation responsible for sickle cell disease.,ClinVar|GeneReviews|FDA
Beta Thalassemia,HBB,Hemoglobin Subunit Beta,Nonsense/Frameshift,Beta-globin deficiency,High,Autosomal Recessive,Infancy,Base Editing,Hematopoietic Stem Cells,Clinical Trials,High,85,Base editing and HDR strategies target pathogenic HBB mutations.,ClinVar|GeneReviews
Cystic Fibrosis,CFTR,CFTR Transmembrane Conductance Regulator,Deletion,F508del,High,Autosomal Recessive,Childhood,Prime Editing,Airway Stem Cells,Preclinical,High,78,Prime editing may restore CFTR sequence without double-strand breaks.,ClinVar|GeneReviews
Duchenne Muscular Dystrophy,DMD,Dystrophin,Deletion,Dystrophin loss,High,X-linked Recessive,Childhood,Exon Skipping + CRISPR,Muscle Stem Cells,Clinical Trials,High,80,Genome editing aims to restore the dystrophin reading frame.,GeneReviews|PubMed
Huntington Disease,HTT,Huntingtin,CAG Repeat Expansion,Toxic protein aggregation,High,Autosomal Dominant,Adult,CRISPR Gene Silencing,Neurons,Preclinical,Moderate,70,CRISPR approaches attempt to suppress mutant HTT expression.,GeneReviews|PubMed
Hemophilia A,F8,Coagulation Factor VIII,Inversion/Deletion,Factor VIII deficiency,High,X-linked Recessive,Childhood,Gene Addition + CRISPR,Liver Cells,Clinical Trials,High,82,Editing strategies aim to restore functional Factor VIII production.,ClinVar|GeneReviews
Marfan Syndrome,FBN1,Fibrillin-1,Missense,Connective tissue defect,Medium,Autosomal Dominant,Childhood,Prime Editing,Fibroblasts,Experimental,Moderate,68,Prime editing may correct pathogenic FBN1 variants.,GeneReviews
Tay-Sachs Disease,HEXA,Hexosaminidase A,Nonsense,HexA deficiency,High,Autosomal Recessive,Infancy,Gene Replacement,Neurons,Preclinical,Moderate,72,Gene replacement is currently more feasible than direct editing.,ClinVar
Phenylketonuria,PAH,Phenylalanine Hydroxylase,Missense,Reduced PAH activity,Medium,Autosomal Recessive,Infancy,Base Editing,Hepatocytes,Preclinical,Moderate,74,Base editing targets pathogenic PAH point mutations.,GeneReviews
Spinal Muscular Atrophy,SMN1,Survival Motor Neuron 1,Deletion,Loss of SMN protein,High,Autosomal Recessive,Infancy,Gene Replacement + CRISPR,Motor Neurons,FDA Approved,High,88,SMN restoration therapies already demonstrate clinical benefit.,FDA|GeneReviews
